x,y,time_stamp
3.2642486486161952,1.827099898216792,1520420882.561389
3.2642486486161952,1.827099898216792,1520420882.725529
3.2642486486161952,1.827099898216792,1520420882.881662
3.2642486486161952,1.827099898216792,1520420883.041409
3.2642486486161952,1.827099898216792,1520420883.201633
3.2642486486161952,1.827099898216792,1520420883.36142
3.2642486486161952,1.827099898216792,1520420883.521418
3.2642486486161952,1.827099898216792,1520420883.681488
3.2642486486161952,1.827099898216792,1520420883.841619
3.2642486486161952,1.827099898216792,1520420884.001373
3.2642486486161952,1.827099898216792,1520420884.161427
3.2642486486161952,1.827099898216792,1520420884.321416
3.2642486486161952,1.827099898216792,1520420884.481496
3.2642486486161952,1.827099898216792,1520420884.641761
3.2642486486161952,1.827099898216792,1520420884.801553
3.2642486486161952,1.827099898216792,1520420884.961745
3.2642486486161952,1.827099898216792,1520420885.121472
3.2642486486161952,1.827099898216792,1520420885.281597
3.2642486486161952,1.827099898216792,1520420885.445363
3.2642486486161952,1.827099898216792,1520420885.605382
3.2642486486161952,1.827099898216792,1520420885.765738
3.2642486486161952,1.827099898216792,1520420885.92571
3.2642486486161952,1.827099898216792,1520420886.085387
3.2642486486161952,1.827099898216792,1520420886.247041
3.2642486486161952,1.827099898216792,1520420886.405437
3.2642486486161952,1.827099898216792,1520420886.565539
3.2642486486161952,1.827099898216792,1520420886.725402
3.2642486486161952,1.827099898216792,1520420886.885388
3.2642486486161952,1.827099898216792,1520420887.04607
3.2642486486161952,1.827099898216792,1520420887.205408
3.2642486486161952,1.827099898216792,1520420887.365519
3.264231821191208,1.8270607124687275,1520420887.525382
3.264231821191208,1.8270607124687275,1520420887.685422
3.264231821191208,1.8270607124687275,1520420887.845489
3.264231821191208,1.8270607124687275,1520420888.005385
3.264231821191208,1.8270607124687275,1520420888.169425
3.264231821191208,1.8270607124687275,1520420888.329578
